ID,Sentence,Sentence_clean,sentiment
184,"The consistency among the various key clinically meaningful endpoints, each of which provide independent measures central to the pathology of SMA, support significant efficacy in both pre-symptomatic and symptomatic subjects and across infantile-onset and later-onset SMA",consistency among various key clinically meaningful endpoints provide independent measures central pathology sma support significant efficacy presymptomatic symptomatic subjects across infantileonset lateronset sma,Positive
198,Review of the available data demonstrated no safety concerns due to nusinersen exposure,review available data demonstrated safety concerns due nusinersen exposure,Positive
199,The majority of AEs and SAEs reported in subjects exposed to nusinersen were consistent with the nature and frequency of events typically occurring in the context of SMA,majority aes saes reported subjects exposed nusinersen consistent nature frequency events typically occurring context sma,Positive
201,"In addition, the fatality rate in nusinersen-treated subjects with infantile-onset SMA was about half that of sham-controlled subjects",addition fatality rate nusinersentreated subjects infantileonset sma half shamcontrolled subjects,Positive
202,"nusinersen has demonstrated a favourable safety and efficacy pattern in the treatment of infantile-onset SMA from a randomized controlled clinical study, Study CS3B",nusinersen demonstrated favourable safety efficacy pattern treatment infantileonset sma randomized controlled clinical study study csb,Positive
203,"This was supported by favourable safety and efficacy data from the interim analysis of a randomized controlled clinical study, CS4 in later-onset subjects, open-label studies in pre-symptomatic subjects, and subjects with infantile-onset and later-onset SMA, where the attainment of motor milestones in subjects receiving treatment differed from that seen in the natural history of SMA",supported favourable safety efficacy data interim analysis randomized controlled clinical study cs lateronset subjects openlabel studies presymptomatic subjects subjects infantileonset lateronset sma attainment motor milestones subjects receiving treatment differed seen natural history sma,Positive
204,"Based on the totality of the data, it can be agreed that nusinersen has a positive benefit/risk profile for treating SMA",based totality data agreed nusinersen positive benefitrisk profile treating sma,Positive
206,The FRC has been investigated in a clinical programme of adequate design.,frc investigated clinical programme adequate design,Positive
208,Study EFC12404 provides relevant information on the contribution of the mono-components to the effect of the FRC.,study efc provides relevant information contribution monocomponents effect frc,Positive
211,"With the FRC, the decrease in HbA1c was achieved without increase in body weight, and without an increase in the reporting of hypoglycaemia compared to patients on monotherapy with insulin glargine.",frc decrease hbac achieved without increase body weight without increase reporting hypoglycaemia compared patients monotherapy insulin glargine,Positive
218,"However, further analyses have shown that only a small proportion of patients (7% and 15%, study EFC12404 and EFC12405 respectively) had both reached the maximum dose and were in need of intensified treatment at week 30",however analyses shown small proportion patients   study efc efc respectively reached maximum dose need intensified treatment week ,Positive
219,"In addition, data from the lixisenatide file has been presented which shows maintenance of efficacy up to 76 weeks in combination with basal insulin.",addition data lixisenatide file presented shows maintenance efficacy  weeks combination basal insulin,Positive
220,Thus it appears plausible that the effect can be maintained for a majority of patients at the doses,thus appears plausible effect maintained majority patients doses,Positive
221,No new or unexpected adverse reactions were noted with the fixed combination of lixisenatide/insulin glargine (FRC) compared to the mono-components.,new unexpected adverse reactions noted fixed combination lixisenatideinsulin glargine frc compared monocomponents,Positive
223,The incidences of documented hypoglycaemic episode were comparable between the FRC and insulin glargine group.,incidences documented hypoglycaemic episode comparable frc insulin glargine group,Positive
225,Immunological reactions such as allergic reactions and injections site reactions were few and equally distributed between the different treatment groups.,immunological reactions allergic reactions injections site reactions equally distributed different treatment groups,Positive
226,A lower frequency of patients developed lixisenatide antibodies (ADA) in the FRC group (36%) compared to the lixisenatide group (48%).,lower frequency patients developed lixisenatide antibodies ada frc group  compared lixisenatide group ,Positive
227,The RMP adequately reflects the safety concerns listed for the two monocomponents. The,rmp adequately reflects safety concerns listed two monocomponents,Positive
228,"Overall, the fixed combination of lixisenatide/insulin glargine demonstrates a comparable safety profile as the two mono-components.",overall fixed combination lixisenatideinsulin glargine demonstrates comparable safety profile two monocomponents,Positive
229,There are no major objections based on the efficacy data.,major objections based efficacy data,Positive
231,Bioequivalence of the FDC to the separate components has been established.,bioequivalence fdc separate components established,Positive
233,Preliminary results from the ongoing phase 3 studies are reassuring in this respect.,preliminary results ongoing phase  studies reassuring respect,Positive
234,The safety profile of the D/C/F/TAF FDC is largely based on the well-established safety profile of the individual components.,safety profile dcftaf fdc largely based wellestablished safety profile individual components,Positive
235,The safety profile of D/C/F/TAF FDC is supported by the results from the phase 2 study and as well by the preliminary results from the ongoing phase 3 studies.,safety profile dcftaf fdc supported results phase  study well preliminary results ongoing phase  studies,Positive
236,The observed safety profile is in line with expectations and did not raise additional concerns.,observed safety profile line expectations raise additional concerns,Positive
237,"Since Tadalafil Lilly application is an informed consent of Cialis application, the clinical data in support of the Tadalafil Lilly application are identical to the up-to-date clinical data of Cialis dossier, which have been assessed and authorised (including all post-marketing procedures).",tadalafil lilly application informed consent cialis application clinical data support tadalafil lilly application identical uptodate clinical data cialis dossier assessed authorised including postmarketing procedures,Positive
238,A summary of the literature with regard to clinical data of tadalafil and two bioequivalence studies were provided to demonstrate that the active substance does not differ significantly in properties with regards to safety and efficacy of the reference product and was accepted by the CHMP.,summary literature regard clinical data tadalafil two bioequivalence studies provided demonstrate active substance differ significantly properties regards safety efficacy reference product accepted chmp,Positive
239,"Study TRIPLE 5, triple therapy with BDP/FF/GB (CHF 5993) had a statistically significant and clinically relevant superior effect on pre-dose and 2-h post-dose FEV1 at week 26 than BDP/FF (Foster).",study triple  triple therapy bdpffgb chf  statistically significant clinically relevant superior effect predose h postdose fev week  bdpff foster,Positive
241,"Nevertheless, the responder analysis indicates a benefit for CHF 5993 compared with Foster on TDI symptoms for a greater proportion of patients.",nevertheless responder analysis indicates benefit chf  compared foster tdi symptoms greater proportion patients,Positive
242,"Also, the observed 23% reduction in the exacerbation rate is above the minimum clinically important difference.",also observed  reduction exacerbation rate minimum clinically important difference,Positive
243,"Study TRIPLE 6, CHF 5993 had a statistically significant superior effect on moderate and severe COPD exacerbation rate over 52 weeks than Tiotropium.",study triple  chf  statistically significant superior effect moderate severe copd exacerbation rate  weeks tiotropium,Positive
244,The observed 20% reduction in the exacerbation rate is above the minimum clinically important difference.,observed  reduction exacerbation rate minimum clinically important difference,Positive
245,Superiority of CHF 5993 pMDI over Tiotropium and non-inferiority relative to Foster pMDI + Tiotropium in terms pre-dose morning FEV1 at Week 52 was also demonstrated.,superiority chf  pmdi tiotropium noninferiority relative foster pmdi tiotropium terms predose morning fev week  demonstrated,Positive
246,"The superior clinical efficacy of CHF 5993 pMDI compared to Tiotropium was further supported by consistent findings on other relevant parameters, including SGRQ and use of rescue medication.",superior clinical efficacy chf  pmdi compared tiotropium supported consistent findings relevant parameters including sgrq use rescue medication,Positive
248,"Overall, CHF 5993 pMDI has shown benefits in reduction in exacerbation frequency and in improvement in lung function in two large Phase III studies.",overall chf  pmdi shown benefits reduction exacerbation frequency improvement lung function two large phase iii studies,Positive
249,From the safety data presented there are no particular safety signals that suggest an additive effect when FF and GB are administered together.,safety data presented particular safety signals suggest additive effect ff gb administered together,Positive
251,The clinical database is acceptable and considered sufficient.,clinical database acceptable considered sufficient,Positive
252,The clinical safety sections of the SmPC contain appropriate information for each substance and reflect the safety information on the FDC.,clinical safety sections smpc contain appropriate information substance reflect safety information fdc,Positive
253,"In this informed consent application, there are no new issues related to the clinical data. ",informed consent application new issues related clinical data,Positive
254,All the clinical data have been assessed for Nuwiq application and adequately reflected in the Product Information.,clinical data assessed nuwiq application adequately reflected product information,Positive
255,SOF/VEL/VOX for 12 weeks has shown excellent efficacy in patients that have previously failed a regimen containing an NS5A inhibitor.,sofvelvox  weeks shown excellent efficacy patients previously failed regimen containing nsa inhibitor,Positive
256,A similar 12 week course appears somewhat better than SOF/VEL in patients with previous failure on a DAA-containing regimen without an NS5A inhibitor.,similar  week course appears somewhat better sofvel patients previous failure daacontaining regimen without nsa inhibitor,Positive
257,An 8 week course of SOF/VEL/VOX was similarly efficacious as 12 weeks of SOF/VEL in a difficult to cure DAA-naïve cirrhotic GT3 cohort., week course sofvelvox similarly efficacious  weeks sofvel difficult cure daanave cirrhotic gt cohort,Positive
261,"SOF/VEL/VOX has been studied in a sufficient number of patients, including substantial numbers of patients with compensated cirrhosis.",sofvelvox studied sufficient number patients including substantial numbers patients compensated cirrhosis,Positive
262,"Compared to SOF/VEL and placebo, there were similar rates of AEs overall, with the only notable difference being increased rates of mild (Grade 1) nausea and diarrhoea.",compared sofvel placebo similar rates aes overall notable difference increased rates mild grade  nausea diarrhoea,Positive
264,"No treatment-related SAE was reported and only one subject (0.1%) in the Phase 3 trials discontinued SOF/VEL/VOX due to reported advents, assessed unrelated to study drug.",treatmentrelated sae reported one subject  phase  trials discontinued sofvelvox due reported advents assessed unrelated study drug,Positive
266,The safety profile of SOF/VEL/VOX for 8 or 12 weeks in patients with compensated liver disease due to HCV infection appears favourable.,safety profile sofvelvox   weeks patients compensated liver disease due hcv infection appears favourable,Positive
8,This means that further evidence on this medicinal product is awaited,means evidence medicinal product awaited,Negative
10,The CHMP considers the following measures necessary to address the missing efficacy data for 1st line treatment in the context of a conditional MA:,chmp considers following measures necessary address missing efficacy data st line treatment context conditional ma,Negative
14,• PASS: German real-world cohort study should be submitted as additional PhV activity to address the missing information of safety and efficacy in immune compromised patients,pass german realworld cohort study submitted additional phv activity address missing information safety efficacy immune compromised patients,Negative
